metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,429.06666666666666,426.5,495.04999999999995,366.0,551.0,46.69706727358821
adapter_publish_ms,30.0,8.4,8.0,11.0,7.0,13.0,1.3796551293211172
adapter_wait_reply_ms,30.0,20.8,17.0,25.099999999999994,14.0,113.0,17.65453932054557
adapter_async_ms,30.0,399.7,400.5,459.1,341.0,470.0,40.02942882947236
adapter_chain_submit_ms,30.0,320.8,314.0,378.2,260.0,387.0,33.42144675875471
adapter_db_save_ms,30.0,5.766666666666667,5.0,9.0,3.0,16.0,2.2996751394765385
leader_verify_ms,30.0,0.1,0.0,1.0,0.0,1.0,0.30512857662936466
leader_election_msg_build_ms,30.0,0.13333333333333333,0.0,1.0,0.0,1.0,0.34574590364176044
leader_election_kafka_send_ms,30.0,0.6333333333333333,0.0,2.0,0.0,3.0,0.8087168778415269
leader_election_total_ms,30.0,0.8333333333333334,1.0,2.0,0.0,3.0,0.7914775938769179
leader_reply_to_setup_wait_ms,30.0,0.2,0.0,1.0,0.0,1.0,0.4068381021724863
leader_setup_invoke_ms,30.0,1.0333333333333334,1.0,2.0,0.0,6.0,1.0661996103898193
leader_pre_consensus_ms,30.0,1.6,1.0,3.549999999999997,1.0,6.0,1.1325893433586842
leader_init_ms,30.0,0.13333333333333333,0.0,1.0,0.0,1.0,0.34574590364176044
leader_broadcast_send_ms,30.0,0.7666666666666667,1.0,1.5499999999999972,0.0,6.0,1.1351236704106018
leader_consensus_total_ms,30.0,15.9,12.0,18.099999999999994,10.0,107.0,17.335134742819974
leader_es_queue_before_http_ms,30.0,0.9333333333333333,1.0,1.0,0.0,2.0,0.3651483716701107
leader_es_http_ms,30.0,2.6666666666666665,3.0,4.0,2.0,4.0,0.6608945522512667
leader_es_body_read_ms,30.0,0.3,0.0,1.0,0.0,1.0,0.466091599699399
leader_es_json_parse_ms,30.0,0.1,0.0,1.0,0.0,1.0,0.30512857662936466
leader_es_finalize_ms,30.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.4794633014853842
leader_es_total_ms,30.0,4.333333333333333,4.0,6.0,3.0,7.0,0.9942362632324556
leader_reply_after_es_ms,30.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.3790490217894517
leader_wait_threshold_ms,30.0,7.0,7.0,9.0,6.0,12.0,1.259447059844805
leader_aggregate_ms,30.0,0.06666666666666667,0.0,0.5499999999999972,0.0,1.0,0.2537081317024624
leader_agg_broadcast_roundtrip_ms,13.0,1.5384615384615385,1.0,2.3999999999999986,1.0,3.0,0.6602252917735247
leader_commit_build_send_ms,13.0,0.15384615384615385,0.0,1.0,0.0,1.0,0.3755338080994054
leader_commit_wait_ms,30.0,0.06666666666666667,0.0,0.5499999999999972,0.0,1.0,0.2537081317024624
leader_reply_kafka_ms,30.0,4.333333333333333,1.0,7.549999999999997,0.0,93.0,16.844795232854022
leader_post_threshold_ms,30.0,8.9,5.0,11.0,4.0,98.0,16.930588518601674
all_nodes_es_total_avg_ms,30.0,4.5,4.5,5.387499999999999,3.5,5.75,0.5798335076138013
all_nodes_es_total_min_ms,30.0,3.7,4.0,4.0,3.0,4.0,0.46609159969939906
all_nodes_es_total_max_ms,30.0,5.4,5.0,8.099999999999994,4.0,9.0,1.2757688689165259
all_nodes_es_queue_avg_ms,30.0,1.05,1.0,1.9124999999999979,0.75,2.25,0.37370465934182984
all_nodes_es_http_avg_ms,30.0,2.75,2.75,3.6374999999999993,2.0,4.0,0.49567091418845
worker_node_count,30.0,4.0,4.0,4.0,4.0,4.0,0.0
