req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000190029869410000015901,oracle-lab-oracle-node-6,470,11,23,436,345,6,0,0,4,4,0,1,4,0,1,15,1,3,0,0,0,4,0,7,0,,,0,2,8,30.5,4,206,1.125,28.5,8.0
3011000190029869410000015902,oracle-lab-oracle-node-8,490,7,119,363,309,4,1,0,2,2,0,2,4,0,2,111,1,4,1,0,0,6,0,8,0,,,0,3,103,136.875,4,1058,1.0,134.875,8.0
3011000190029869410000015903,oracle-lab-oracle-node-2,491,8,112,371,320,6,0,1,3,4,1,1,5,0,1,105,1,2,0,0,1,4,0,8,0,89,0,0,2,97,17.0,4,98,12.875,3.375,8.0
3011000190029869410000015904,oracle-lab-oracle-node-5,450,6,22,421,306,35,0,0,2,3,0,1,3,0,1,15,1,4,0,0,1,6,0,8,1,,,0,2,7,134.75,4,1037,1.0,132.5,8.0
3011000190029869410000015905,oracle-lab-oracle-node-2,426,6,18,401,334,4,0,0,1,2,0,1,2,0,1,13,1,3,0,0,1,5,0,7,0,,,0,1,6,5.25,4,7,0.875,3.5,8.0
3011000190029869410000015906,oracle-lab-oracle-node-4,431,6,24,401,304,33,0,0,2,2,0,2,3,0,1,17,1,4,0,0,0,5,0,9,0,,,0,3,8,6.375,5,9,1.0,4.75,8.0
3011000190029869410000015907,oracle-lab-oracle-node-5,407,7,23,377,320,5,0,0,1,1,0,1,2,0,1,16,1,4,0,1,0,6,0,9,0,,,1,1,7,6.125,4,8,1.25,4.0,8.0
3011000190029869410000015908,oracle-lab-oracle-node-6,492,7,117,367,306,4,0,0,0,0,0,1,2,0,0,15,2,3,0,0,1,6,0,7,0,,,0,1,8,5.625,4,8,1.375,3.375,8.0
3011000190029869410000015909,oracle-lab-oracle-node-1,426,7,21,398,328,6,1,0,2,2,0,1,4,0,0,15,1,2,1,0,0,4,0,6,0,,,0,2,9,5.0,4,6,0.875,3.25,8.0
3011000190029869410000015910,oracle-lab-oracle-node-2,414,7,22,385,319,5,0,1,0,1,0,2,1,1,1,17,0,3,0,0,0,3,1,7,0,,,0,1,10,133.25,3,1029,0.875,131.5,8.0
