req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000101844605550000015494,oracle-lab-oracle-node-3,788,257,42,478,334,18,0,0,1,1,1,24,2,,,24,1,2,1,0,12,16,6,,0,,,,2,,16.0,16,16,1.0,2.0,1.0
3011000101844605550000015495,oracle-lab-oracle-node-1,912,13,411,486,324,30,1,0,1,1,1,404,3,,,404,204,3,0,0,105,312,0,,0,,,,92,,312.0,312,312,204.0,3.0,1.0
3011000101844605550000015496,oracle-lab-oracle-node-2,489,15,29,444,305,8,0,1,2,3,0,22,3,,,22,1,3,1,0,13,18,1,,0,,,,3,,18.0,18,18,1.0,3.0,1.0
3011000101844605550000015497,oracle-lab-oracle-node-3,474,12,29,432,310,8,0,0,1,1,0,23,1,,,23,1,2,1,0,18,22,0,,0,,,,1,,22.0,22,22,1.0,2.0,1.0
3011000101844605550000015498,oracle-lab-oracle-node-2,462,11,21,428,354,8,0,0,0,0,1,15,2,,,15,1,2,0,0,11,14,0,,0,,,,1,,14.0,14,14,1.0,2.0,1.0
3011000101844605550000015499,oracle-lab-oracle-node-4,616,11,113,491,317,28,0,1,1,2,0,108,3,,,107,1,2,0,0,13,16,89,,0,,,,2,,16.0,16,16,1.0,2.0,1.0
3011000101844605550000015500,oracle-lab-oracle-node-1,446,12,21,412,297,8,1,0,0,0,0,17,2,,,16,2,2,0,0,11,15,0,,0,,,,1,,15.0,15,15,2.0,2.0,1.0
3011000101844605550000015501,oracle-lab-oracle-node-3,558,10,22,526,390,8,0,1,0,1,0,17,1,,,16,1,2,1,0,11,15,1,,0,,,,0,,15.0,15,15,1.0,2.0,1.0
3011000101844605550000015502,oracle-lab-oracle-node-2,522,9,24,488,369,8,0,1,0,1,0,19,1,,,18,1,3,0,0,13,17,1,,0,,,,0,,17.0,17,17,1.0,3.0,1.0
3011000101844605550000015503,oracle-lab-oracle-node-4,491,9,27,454,361,8,0,0,1,1,1,20,3,,,19,2,2,0,0,14,18,0,,0,,,,1,,18.0,18,18,2.0,2.0,1.0
3011000101844605550000015504,oracle-lab-oracle-node-1,492,12,111,368,285,6,0,0,1,1,0,106,1,,,106,8,2,0,0,11,21,1,,0,,,,84,,21.0,21,21,8.0,2.0,1.0
3011000101844605550000015505,oracle-lab-oracle-node-2,508,9,113,385,272,6,1,0,0,0,0,21,2,,,20,1,2,0,0,16,19,0,,0,,,,1,,19.0,19,19,1.0,2.0,1.0
3011000101844605550000015506,oracle-lab-oracle-node-4,521,14,113,393,300,6,0,0,0,1,0,109,1,,,108,4,3,0,0,100,107,1,,0,,,,0,,107.0,107,107,4.0,3.0,1.0
3011000101844605550000015507,oracle-lab-oracle-node-3,474,9,31,432,323,7,0,2,0,2,0,23,3,,,22,0,3,1,0,16,20,1,,0,,,,1,,20.0,20,20,0.0,3.0,1.0
