metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,525.1333333333333,495.0,759.6499999999999,392.0,912.0,112.14145418678339
adapter_publish_ms,30.0,18.866666666666667,10.5,14.549999999999997,8.0,257.0,45.00784095162127
adapter_wait_reply_ms,30.0,80.53333333333333,36.5,225.99999999999943,20.0,411.0,88.1099365539451
adapter_async_ms,30.0,424.4,406.0,517.8999999999999,360.0,532.0,51.838342885391775
adapter_chain_submit_ms,30.0,324.03333333333336,312.5,400.95,272.0,416.0,37.6338836077583
adapter_db_save_ms,30.0,9.6,7.0,29.099999999999994,5.0,32.0,7.323085839104752
leader_verify_ms,30.0,0.1,0.0,1.0,0.0,1.0,0.30512857662936466
leader_election_msg_build_ms,30.0,0.43333333333333335,0.0,1.0,0.0,2.0,0.5683207771559354
leader_election_kafka_send_ms,30.0,0.43333333333333335,0.0,1.5499999999999972,0.0,2.0,0.6260623155792926
leader_election_total_ms,30.0,1.0,1.0,2.0,0.0,3.0,0.6948083337796512
leader_reply_to_setup_wait_ms,30.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.3790490217894517
leader_setup_invoke_ms,30.0,62.36666666666667,22.5,216.69999999999945,15.0,404.0,88.50150333160461
leader_pre_consensus_ms,30.0,1.8666666666666667,2.0,3.0,1.0,7.0,1.2242755305537407
leader_consensus_total_ms,30.0,61.9,22.0,216.24999999999943,15.0,404.0,88.52988975092167
leader_es_queue_before_http_ms,30.0,11.8,1.0,62.999999999999716,0.0,204.0,41.20043521698485
leader_es_http_ms,30.0,2.433333333333333,2.0,3.0,2.0,3.0,0.5040069329937309
leader_es_body_read_ms,30.0,0.26666666666666666,0.0,1.0,0.0,1.0,0.44977644510880366
leader_es_json_parse_ms,30.0,0.03333333333333333,0.0,0.0,0.0,1.0,0.18257418583505536
leader_es_finalize_ms,30.0,25.366666666666667,13.0,104.55,11.0,105.0,31.281241854408893
leader_es_total_ms,30.0,39.9,17.5,166.84999999999968,14.0,312.0,66.20102614060424
leader_reply_after_es_ms,30.0,6.533333333333333,1.0,51.09999999999977,0.0,89.0,22.30931973697174
leader_aggregate_ms,30.0,0.03333333333333333,0.0,0.0,0.0,1.0,0.18257418583505536
leader_reply_kafka_ms,30.0,15.4,1.0,87.55,0.0,92.0,32.863983010437806
all_nodes_es_total_avg_ms,30.0,39.9,17.5,166.84999999999968,14.0,312.0,66.20102614060424
all_nodes_es_total_min_ms,30.0,39.9,17.5,166.84999999999968,14.0,312.0,66.20102614060424
all_nodes_es_total_max_ms,30.0,39.9,17.5,166.84999999999968,14.0,312.0,66.20102614060424
all_nodes_es_queue_avg_ms,30.0,11.8,1.0,62.999999999999716,0.0,204.0,41.20043521698485
all_nodes_es_http_avg_ms,30.0,2.433333333333333,2.0,3.0,2.0,3.0,0.5040069329937309
worker_node_count,30.0,1.0,1.0,1.0,1.0,1.0,0.0
