req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000149230436220000015182,oracle-lab-oracle-node-1,440,9,14,418,305,26,0,1,1,3,0,7,4,,,6,1,2,0,0,1,4,0,,0,,,,2,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015183,oracle-lab-oracle-node-1,402,8,17,377,313,16,0,0,0,1,0,11,2,,,10,1,3,0,0,0,4,3,,0,,,,3,,4.0,4,4,1.0,3.0,1.0
3011000149230436220000015184,oracle-lab-oracle-node-1,619,11,10,597,429,6,0,0,1,1,0,6,2,,,5,1,2,0,0,0,3,1,,0,,,,1,,3.0,3,3,1.0,2.0,1.0
3011000149230436220000015185,oracle-lab-oracle-node-4,532,8,19,505,418,5,1,0,2,2,1,13,4,,,12,1,3,0,0,0,4,6,,0,,,,2,,4.0,4,4,1.0,3.0,1.0
3011000149230436220000015186,oracle-lab-oracle-node-4,454,9,12,433,338,5,0,1,0,1,1,6,3,,,5,1,2,0,0,0,3,1,,0,,,,1,,3.0,3,3,1.0,2.0,1.0
3011000149230436220000015187,oracle-lab-oracle-node-1,436,7,12,416,316,7,0,1,0,1,0,8,2,,,7,1,2,1,0,0,4,2,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015188,oracle-lab-oracle-node-3,405,9,13,382,317,5,0,1,1,2,0,7,2,,,6,1,3,0,0,1,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015189,oracle-lab-oracle-node-1,407,9,12,386,303,23,0,1,0,2,0,6,2,,,6,1,3,0,0,0,4,1,,0,,,,1,,4.0,4,4,1.0,3.0,1.0
3011000149230436220000015190,oracle-lab-oracle-node-1,461,9,29,422,367,5,0,1,0,1,1,8,2,,,8,1,4,0,0,1,6,1,,0,,,,1,,6.0,6,6,1.0,4.0,1.0
3011000149230436220000015191,oracle-lab-oracle-node-2,545,10,13,522,425,5,0,0,2,2,0,7,3,,,6,1,2,0,0,1,4,0,,0,,,,2,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015192,oracle-lab-oracle-node-1,351,8,9,333,282,7,0,0,1,1,0,5,1,,,5,1,2,1,0,0,4,0,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015193,oracle-lab-oracle-node-4,536,8,12,516,416,6,0,0,0,0,0,6,1,,,6,1,3,0,0,1,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015194,oracle-lab-oracle-node-2,470,10,11,449,305,22,0,0,1,1,0,7,2,,,6,1,3,0,0,0,4,1,,0,,,,1,,4.0,4,4,1.0,3.0,1.0
3011000149230436220000015195,oracle-lab-oracle-node-3,467,7,11,449,336,6,0,1,0,1,0,6,1,,,6,1,3,1,0,0,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015196,oracle-lab-oracle-node-3,399,10,18,371,317,5,0,1,0,1,1,12,2,,,11,1,3,0,0,0,4,1,,0,,,,6,,4.0,4,4,1.0,3.0,1.0
3011000149230436220000015197,oracle-lab-oracle-node-3,394,8,11,375,280,5,0,0,1,1,0,6,2,,,5,1,3,0,0,1,5,0,,0,,,,0,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015198,oracle-lab-oracle-node-3,436,8,15,413,325,5,0,0,1,1,0,6,1,,,6,1,3,0,1,0,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015199,oracle-lab-oracle-node-3,418,8,10,399,303,5,0,1,0,1,0,6,2,,,5,1,2,0,0,1,4,0,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015200,oracle-lab-oracle-node-4,513,9,11,492,421,6,0,0,0,1,0,7,1,,,6,1,3,1,0,0,5,1,,0,,,,0,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015201,oracle-lab-oracle-node-1,395,10,10,375,306,5,0,1,0,1,0,6,2,,,5,1,2,0,1,0,4,0,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015202,oracle-lab-oracle-node-1,495,8,11,476,384,11,1,0,0,0,1,5,2,,,5,1,2,1,0,0,4,1,,0,,,,0,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015203,oracle-lab-oracle-node-3,366,7,11,347,273,4,0,0,1,1,0,6,2,,,6,1,3,0,0,1,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015204,oracle-lab-oracle-node-3,390,9,10,371,279,19,0,1,0,1,0,5,2,,,5,2,1,1,0,0,4,1,,0,,,,0,,4.0,4,4,2.0,1.0,1.0
3011000149230436220000015205,oracle-lab-oracle-node-1,429,8,9,411,288,25,0,0,1,1,0,5,1,,,5,1,2,1,0,0,4,0,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015206,oracle-lab-oracle-node-3,429,8,12,409,336,6,0,1,0,1,0,7,2,,,6,1,2,0,1,0,4,0,,0,,,,2,,4.0,4,4,1.0,2.0,1.0
3011000149230436220000015207,oracle-lab-oracle-node-2,438,8,12,418,321,4,0,0,1,1,0,6,1,,,6,1,3,0,0,1,5,0,,0,,,,1,,5.0,5,5,1.0,3.0,1.0
3011000149230436220000015208,oracle-lab-oracle-node-3,417,8,14,394,343,8,1,0,0,0,1,10,2,,,10,1,2,0,0,5,8,1,,0,,,,1,,8.0,8,8,1.0,2.0,1.0
3011000149230436220000015209,oracle-lab-oracle-node-4,441,10,11,420,299,5,0,1,0,1,0,6,2,,,5,0,3,0,0,1,4,0,,0,,,,1,,4.0,4,4,0.0,3.0,1.0
3011000149230436220000015210,oracle-lab-oracle-node-4,444,9,12,423,336,5,0,1,0,1,0,6,2,,,5,1,2,0,0,0,3,1,,0,,,,1,,3.0,3,3,1.0,2.0,1.0
3011000149230436220000015211,oracle-lab-oracle-node-1,597,7,16,573,474,37,0,1,0,1,0,6,2,,,5,1,2,0,0,1,4,0,,0,,,,1,,4.0,4,4,1.0,2.0,1.0
