metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,450.8666666666667,437.0,573.5999999999999,351.0,619.0,64.1274234378835
adapter_publish_ms,30.0,8.566666666666666,8.0,10.0,7.0,11.0,1.0400044208570938
adapter_wait_reply_ms,30.0,12.9,12.0,18.549999999999997,9.0,29.0,3.942255611999916
adapter_async_ms,30.0,429.06666666666666,417.0,550.0499999999998,333.0,597.0,63.48821956070674
adapter_chain_submit_ms,30.0,338.5,319.0,427.2,273.0,474.0,53.509103318323646
adapter_db_save_ms,30.0,9.966666666666667,6.0,25.549999999999997,4.0,37.0,8.539899592938506
leader_verify_ms,30.0,0.1,0.0,1.0,0.0,1.0,0.30512857662936466
leader_election_msg_build_ms,30.0,0.5,0.5,1.0,0.0,1.0,0.5085476277156078
leader_election_kafka_send_ms,30.0,0.4666666666666667,0.0,1.5499999999999972,0.0,2.0,0.6288102248298565
leader_election_total_ms,30.0,1.1,1.0,2.0,0.0,3.0,0.6074253182419871
leader_reply_to_setup_wait_ms,30.0,0.2,0.0,1.0,0.0,1.0,0.4068381021724863
leader_setup_invoke_ms,30.0,6.933333333333334,6.0,11.549999999999997,5.0,13.0,2.0160277319749236
leader_pre_consensus_ms,30.0,1.9666666666666666,2.0,3.549999999999997,1.0,4.0,0.7648904962570575
leader_consensus_total_ms,30.0,6.333333333333333,6.0,10.549999999999997,5.0,12.0,1.9178532059415365
leader_es_queue_before_http_ms,30.0,1.0,1.0,1.0,0.0,2.0,0.2626128657194451
leader_es_http_ms,30.0,2.5,2.5,3.0,1.0,4.0,0.6297235299224025
leader_es_body_read_ms,30.0,0.23333333333333334,0.0,1.0,0.0,1.0,0.4301830671520763
leader_es_json_parse_ms,30.0,0.1,0.0,1.0,0.0,1.0,0.30512857662936466
leader_es_finalize_ms,30.0,0.5333333333333333,0.0,1.0,0.0,5.0,0.9732042112432565
leader_es_total_ms,30.0,4.366666666666666,4.0,5.549999999999997,3.0,8.0,0.9643054793328016
leader_reply_after_es_ms,30.0,0.7333333333333333,0.0,2.549999999999997,0.0,6.0,1.2298957997167563
leader_aggregate_ms,30.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_reply_kafka_ms,30.0,1.2333333333333334,1.0,2.549999999999997,0.0,6.0,1.1043279539543756
all_nodes_es_total_avg_ms,30.0,4.366666666666666,4.0,5.549999999999997,3.0,8.0,0.9643054793328016
all_nodes_es_total_min_ms,30.0,4.366666666666666,4.0,5.549999999999997,3.0,8.0,0.9643054793328016
all_nodes_es_total_max_ms,30.0,4.366666666666666,4.0,5.549999999999997,3.0,8.0,0.9643054793328016
all_nodes_es_queue_avg_ms,30.0,1.0,1.0,1.0,0.0,2.0,0.2626128657194451
all_nodes_es_http_avg_ms,30.0,2.5,2.5,3.0,1.0,4.0,0.6297235299224025
worker_node_count,30.0,1.0,1.0,1.0,1.0,1.0,0.0
