metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,1.0,705.0,705.0,705.0,705.0,705.0,0.0
adapter_publish_ms,1.0,13.0,13.0,13.0,13.0,13.0,0.0
adapter_wait_reply_ms,1.0,223.0,223.0,223.0,223.0,223.0,0.0
adapter_async_ms,1.0,469.0,469.0,469.0,469.0,469.0,0.0
adapter_chain_submit_ms,1.0,391.0,391.0,391.0,391.0,391.0,0.0
adapter_db_save_ms,1.0,5.0,5.0,5.0,5.0,5.0,0.0
leader_verify_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_election_msg_build_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_election_kafka_send_ms,1.0,15.0,15.0,15.0,15.0,15.0,0.0
leader_election_total_ms,1.0,15.0,15.0,15.0,15.0,15.0,0.0
leader_reply_to_setup_wait_ms,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leader_setup_invoke_ms,1.0,3.0,3.0,3.0,3.0,3.0,0.0
leader_pre_consensus_ms,1.0,17.0,17.0,17.0,17.0,17.0,0.0
leader_init_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_broadcast_send_ms,1.0,3.0,3.0,3.0,3.0,3.0,0.0
leader_consensus_total_ms,1.0,95.0,95.0,95.0,95.0,95.0,0.0
leader_es_queue_before_http_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_es_http_ms,1.0,4.0,4.0,4.0,4.0,4.0,0.0
leader_es_body_read_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_es_json_parse_ms,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leader_es_finalize_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_es_total_ms,1.0,7.0,7.0,7.0,7.0,7.0,0.0
leader_reply_after_es_ms,1.0,96.0,96.0,96.0,96.0,96.0,0.0
leader_wait_threshold_ms,1.0,12.0,12.0,12.0,12.0,12.0,0.0
leader_aggregate_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_commit_wait_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_reply_kafka_ms,1.0,5.0,5.0,5.0,5.0,5.0,0.0
leader_post_threshold_ms,1.0,83.0,83.0,83.0,83.0,83.0,0.0
all_nodes_es_total_avg_ms,1.0,18.625,18.625,18.625,18.625,18.625,0.0
all_nodes_es_total_min_ms,1.0,5.0,5.0,5.0,5.0,5.0,0.0
all_nodes_es_total_max_ms,1.0,92.0,92.0,92.0,92.0,92.0,0.0
all_nodes_es_queue_avg_ms,1.0,1.125,1.125,1.125,1.125,1.125,0.0
all_nodes_es_http_avg_ms,1.0,6.25,6.25,6.25,6.25,6.25,0.0
worker_node_count,1.0,8.0,8.0,8.0,8.0,8.0,0.0
