req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000114313471720000015781,oracle-lab-oracle-node-3,14152,9,13545,597,517,19,2,387,1302,1691,699,2404,4399,90,304,8892,4819,1386,102,24,157,6488,107,8199,9,26,2,2,195,693,6050.222222222223,5368,7005,4607.740740740741,906.0370370370371,27.0
3011000114313471720000015782,oracle-lab-oracle-node-6,3581,8,3020,554,489,5,1,8,1005,1017,794,99,1813,3,95,1201,80,3,0,0,1,84,1,297,107,,,99,202,904,142.90625,5,1054,19.25,109.9375,32.0
3011000114313471720000015783,oracle-lab-oracle-node-5,3696,7,3121,567,472,5,0,2,999,1002,504,101,1507,94,4,1598,2,3,1,0,91,97,1,197,2,,,1,299,1401,39.96875,6,108,6.78125,20.78125,32.0
3011000114313471720000015784,oracle-lab-oracle-node-6,1326,8,920,398,348,13,0,1,1,2,3,3,5,0,2,902,94,103,1,0,1,199,0,19,0,,,0,99,883,36.28125,4,199,4.9375,16.90625,32.0
3011000114313471720000015785,oracle-lab-oracle-node-6,1051,7,517,526,478,4,0,1,1,2,0,8,3,0,2,409,66,5,1,0,1,73,0,45,1,,,0,96,364,202.84375,6,1044,7.53125,175.4375,32.0
3011000114313471720000015786,oracle-lab-oracle-node-6,914,6,323,585,513,5,1,0,1,1,0,31,3,0,30,216,1,1246,1,0,1,1249,0,27,0,,,0,4,189,1106.625,7,3090,1.28125,1100.90625,32.0
3011000114313471720000015787,oracle-lab-oracle-node-4,3155,7,2715,432,337,8,0,1,909,911,703,118,1615,96,21,1003,2,2,0,0,1,5,0,298,3,,,1,206,705,12.8125,4,90,2.8125,3.78125,32.0
3011000114313471720000015788,oracle-lab-oracle-node-1,3712,8,3215,489,428,5,1,1,809,812,799,307,1613,96,11,1594,94,6,7,0,1,108,0,603,92,,,1,209,991,28.6875,4,121,8.34375,9.09375,32.0
3011000114313471720000015789,oracle-lab-oracle-node-5,944,7,416,520,460,4,0,3,3,6,0,93,9,1,92,395,2,14,1,82,1,100,1,193,0,,,0,97,202,346.71875,5,1056,1.46875,333.46875,32.0
3011000114313471720000015790,oracle-lab-oracle-node-7,3148,7,2719,421,347,5,0,9,1008,1019,691,102,1712,3,98,803,2,3,0,1,1,7,0,199,2,,,1,100,604,251.6875,5,1087,4.46875,238.96875,32.0
3011000114313471720000015791,oracle-lab-oracle-node-7,833,8,414,412,340,5,0,1,1,3,1,3,5,1,1,396,1,94,1,0,1,97,0,94,0,,,0,100,302,47.46875,4,1056,2.1875,42.6875,32.0
3011000114313471720000015792,oracle-lab-oracle-node-5,710,8,315,386,315,6,0,1,0,1,0,2,2,0,1,214,6,91,1,0,1,99,0,17,0,,,0,5,197,312.375,5,1246,1.625,308.96875,32.0
3011000114313471720000015793,oracle-lab-oracle-node-3,889,7,325,556,485,6,1,1,6,7,0,2,9,1,1,312,1,14,0,0,79,94,1,25,0,,,1,103,287,966.8125,7,3088,2.875,956.53125,32.0
3011000114313471720000015794,oracle-lab-oracle-node-3,921,7,315,598,518,6,0,1,0,1,0,4,4,0,1,305,1,1040,0,0,2,1043,0,19,0,,,0,95,286,309.875,5,1056,1.96875,304.0625,32.0
3011000114313471720000015795,oracle-lab-oracle-node-3,1029,7,417,603,529,6,0,4,4,8,0,5,11,0,1,397,1,3,0,0,1,5,0,97,0,,,1,2,300,15.96875,4,75,1.65625,10.0,32.0
3011000114313471720000015796,oracle-lab-oracle-node-2,2819,8,2415,396,350,5,1,1,1002,1005,600,96,1606,2,3,794,14,2,0,84,100,200,1,202,0,,,1,202,592,60.03125,8,1025,5.03125,38.9375,32.0
3011000114313471720000015797,oracle-lab-oracle-node-7,917,15,503,398,338,5,0,1,1,2,0,93,3,0,92,489,1,3,0,0,1,5,94,13,0,,,0,96,476,106.90625,5,1052,1.4375,103.4375,32.0
3011000114313471720000015798,oracle-lab-oracle-node-6,614,10,123,480,436,5,0,1,0,1,0,4,2,0,3,206,2,1469,1,0,1,1473,0,25,0,,,0,1,181,1009.0,12,3115,1.75,1002.8125,32.0
3011000114313471720000015799,oracle-lab-oracle-node-6,1018,10,508,499,441,6,0,1,0,1,0,6,2,0,5,504,1,18,76,0,1,96,0,24,0,,,0,95,480,19.25,4,96,2.1875,9.53125,32.0
3011000114313471720000015800,oracle-lab-oracle-node-4,998,10,522,465,385,5,0,1,8,10,0,2,11,0,1,506,1,4,0,0,86,91,100,95,0,,,96,209,411,87.65625,5,1068,3.25,74.90625,32.0
3011000114313471720000015801,oracle-lab-oracle-node-1,756,8,321,428,353,5,1,0,6,7,1,2,9,0,2,306,2,4,0,0,1,7,1,28,0,,,0,5,278,109.8125,5,1043,1.46875,105.90625,32.0
3011000114313471720000015802,oracle-lab-oracle-node-8,2590,8,2114,467,401,6,1,0,818,820,688,5,1509,2,2,507,98,3,0,1,96,198,1,100,0,,,1,301,407,14.0625,4,198,4.65625,4.8125,32.0
3011000114313471720000015803,oracle-lab-oracle-node-7,728,8,215,504,446,4,0,0,1,1,0,2,1,0,2,113,2,10,0,0,7,19,71,22,0,,,1,1,91,15.40625,5,97,1.25,10.09375,32.0
3011000114313471720000015804,oracle-lab-oracle-node-3,530,9,129,392,321,5,0,1,0,1,1,2,2,0,1,120,5,12,0,1,91,109,1,12,0,,,0,1,108,20.5625,4,109,1.71875,11.4375,32.0
3011000114313471720000015805,oracle-lab-oracle-node-1,835,8,323,504,434,5,0,1,0,1,0,2,2,0,1,316,1,7,1,0,0,9,1,20,0,,,0,3,296,17.1875,4,105,1.96875,5.875,32.0
3011000114313471720000015806,oracle-lab-oracle-node-7,648,8,225,415,341,6,0,1,0,1,1,2,2,0,2,214,3,86,0,0,1,90,0,24,0,,,0,1,190,571.9375,16,3071,2.125,563.15625,32.0
3011000114313471720000015807,oracle-lab-oracle-node-3,667,8,125,533,452,7,0,0,0,1,1,1,2,0,1,207,29,75,1,0,97,202,0,18,0,,,0,4,189,48.75,5,1041,2.3125,41.6875,32.0
3011000114313471720000015808,oracle-lab-oracle-node-7,588,8,225,355,310,5,0,8,1,9,0,2,9,0,1,298,17,6,70,0,1,94,0,99,0,,,0,3,199,507.21875,7,1241,1.71875,501.40625,32.0
3011000114313471720000015809,oracle-lab-oracle-node-4,875,7,414,454,409,5,1,1,1,2,2,109,6,0,109,294,2,7,81,7,1,98,1,104,0,,,0,4,190,17.40625,4,101,2.59375,6.125,32.0
3011000114313471720000015810,oracle-lab-oracle-node-1,906,9,326,570,521,5,0,1,0,1,0,2,2,0,2,311,70,2,1,0,1,74,94,15,0,,,0,4,296,15.53125,4,93,4.5,7.0,32.0
