metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,1851.6666666666667,919.0,3704.8,530.0,14152.0,2551.6214497821784
adapter_publish_ms,30.0,8.166666666666666,8.0,10.0,6.0,15.0,1.6206285143761956
adapter_wait_reply_ms,30.0,1359.5,415.0,3172.7,123.0,13545.0,2531.092128325037
adapter_async_ms,30.0,483.46666666666664,484.5,597.55,355.0,603.0,74.17673830620437
adapter_chain_submit_ms,30.0,417.1333333333333,431.0,519.65,310.0,529.0,71.8229304145503
adapter_db_save_ms,30.0,6.033333333333333,5.0,10.749999999999986,4.0,19.0,2.941772083031884
leader_verify_ms,30.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.546672273590534
leader_election_msg_build_ms,30.0,14.633333333333333,1.0,8.549999999999997,0.0,387.0,70.36872509335642
leader_election_kafka_send_ms,30.0,262.9,1.0,1006.65,0.0,1302.0,447.2082250492763
leader_election_total_ms,30.0,278.2,2.5,1018.0999999999999,1.0,1691.0,483.74910852631035
leader_reply_to_setup_wait_ms,30.0,182.93333333333334,0.5,753.0499999999997,0.0,799.0,311.4243067754582
leader_setup_invoke_ms,30.0,120.4,4.5,221.94999999999945,1.0,2404.0,436.3843291854334
leader_pre_consensus_ms,30.0,529.2666666666667,5.5,1767.5499999999997,1.0,4399.0,1008.643778181558
leader_init_ms,30.0,12.966666666666667,0.0,95.1,0.0,96.0,32.3520327489403
leader_broadcast_send_ms,30.0,29.7,2.0,104.04999999999997,1.0,304.0,62.9587440176173
leader_consensus_total_ms,30.0,794.0666666666667,395.5,1596.1999999999998,113.0,8892.0,1579.3231185047848
leader_es_queue_before_http_ms,30.0,180.66666666666666,2.0,96.19999999999999,1.0,4819.0,876.6691796651189
leader_es_http_ms,30.0,190.7,7.0,1322.9999999999995,2.0,1469.0,441.94235464321156
leader_es_body_read_ms,30.0,11.566666666666666,1.0,78.74999999999999,0.0,102.0,28.5798136300158
leader_es_json_parse_ms,30.0,6.666666666666667,0.0,55.899999999999835,0.0,84.0,21.23324220915505
leader_es_finalize_ms,30.0,27.5,1.0,98.64999999999999,0.0,157.0,45.80976405482373
leader_es_total_ms,30.0,417.1,96.5,1372.1999999999994,5.0,6488.0,1203.238055100228
leader_reply_after_es_ms,30.0,15.866666666666667,0.5,97.29999999999998,0.0,107.0,35.535056351229514
leader_wait_threshold_ms,30.0,371.0,36.5,465.7499999999991,12.0,8199.0,1483.9142088781093
leader_aggregate_ms,30.0,7.2,0.0,54.649999999999764,0.0,107.0,25.227789822145436
leader_agg_broadcast_roundtrip_ms,1.0,26.0,26.0,26.0,26.0,26.0,0.0
leader_commit_build_send_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_commit_wait_ms,30.0,6.866666666666666,0.0,53.69999999999973,0.0,99.0,24.646092693517797
leader_reply_kafka_ms,30.0,91.4,95.5,258.4999999999997,1.0,301.0,95.63854366563075
leader_post_threshold_ms,30.0,423.06666666666666,298.0,951.8499999999998,91.0,1401.0,305.2566961996291
all_nodes_es_total_avg_ms,30.0,416.39907407407406,73.84375,1062.6937499999997,12.8125,6050.222222222223,1108.7381903469702
all_nodes_es_total_min_ms,30.0,184.36666666666667,5.0,14.199999999999989,4.0,5368.0,979.0354325359831
all_nodes_es_total_max_ms,30.0,1161.0,1043.5,3103.75,75.0,7005.0,1465.9306800189052
all_nodes_es_queue_avg_ms,30.0,157.0965663580247,2.25,14.34218749999997,1.25,4607.740740740741,840.5998241890569
all_nodes_es_http_avg_ms,30.0,234.15644290123456,58.796875,981.9859374999999,3.78125,1100.90625,337.85486397594974
worker_node_count,30.0,31.833333333333332,32.0,32.0,27.0,32.0,0.9128709291752769
