req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000114313471720000015933,oracle-lab-oracle-node-4,41163,284,40317,553,415,15,1503,2004,3206,5400,408,2507,9504,97,404,7800,4602,692,5,3,93,5395,102,7299,2,98,2,1,195,501,5247.5,4593,5501,4176.0,674.0,4.0
3011000114313471720000015934,oracle-lab-oracle-node-4,790,17,404,367,317,6,0,1,1,3,1,4,5,0,2,300,3,3,0,94,1,101,1,94,0,,,0,4,206,50.5,6,101,2.0,2.5,4.0
3011000114313471720000015935,oracle-lab-oracle-node-2,2915,13,2414,487,406,8,0,2,998,1002,506,194,1704,3,2,800,100,98,1,0,1,200,2,206,95,,,1,197,594,99.0,9,200,28.0,48.0,4.0
3011000114313471720000015936,oracle-lab-oracle-node-3,2740,14,2309,415,334,7,0,1,906,908,597,94,1507,2,2,795,2,3,0,0,93,98,1,298,0,,,92,195,497,29.0,5,98,1.75,2.5,4.0
3011000114313471720000015937,oracle-lab-oracle-node-2,1117,13,707,397,318,7,0,1,1,3,1,295,5,0,294,698,96,101,1,0,1,199,0,201,0,,,0,98,497,100.0,5,199,25.0,49.75,4.0
3011000114313471720000015938,oracle-lab-oracle-node-3,828,10,415,402,325,8,1,1,1,2,0,3,4,0,1,403,2,2,1,0,1,6,93,104,0,,,1,98,299,7.0,6,8,1.5,3.0,4.0
3011000114313471720000015939,oracle-lab-oracle-node-2,919,11,411,495,402,7,0,1,1,2,0,2,4,0,1,304,1,3,0,0,1,5,94,104,0,,,0,2,200,28.25,5,96,1.25,2.75,4.0
3011000114313471720000015940,oracle-lab-oracle-node-3,697,13,305,378,280,8,0,0,1,1,0,3,3,0,1,296,1,95,96,1,1,194,0,96,0,,,0,1,200,52.25,5,194,1.0,25.75,4.0
3011000114313471720000015941,oracle-lab-oracle-node-3,628,11,217,399,307,7,0,1,0,1,1,2,3,0,1,209,2,3,1,0,1,7,1,11,0,,,0,1,198,5.75,5,7,1.25,2.75,4.0
3011000114313471720000015942,oracle-lab-oracle-node-1,2213,11,1817,384,311,11,0,0,805,806,596,3,1405,2,1,407,95,2,1,0,96,194,1,100,0,,,1,5,307,52.5,5,194,24.75,2.5,4.0
3011000114313471720000015943,oracle-lab-oracle-node-3,679,12,308,358,313,6,0,1,0,1,1,2,2,1,1,204,2,3,1,0,90,96,0,11,0,,,0,1,193,28.5,5,96,1.75,3.0,4.0
