metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,2207.8,681.0,2836.2499999999995,422.0,41163.0,7383.628448267759
adapter_publish_ms,30.0,20.433333333333334,11.0,15.649999999999991,8.0,284.0,49.814610329689934
adapter_wait_reply_ms,30.0,1756.7333333333333,213.5,2366.75,25.0,40317.0,7308.93576352962
adapter_async_ms,30.0,429.6,402.0,553.0,324.0,556.0,69.45184389697407
adapter_chain_submit_ms,30.0,351.2,321.5,470.6999999999998,279.0,505.0,62.79710074572683
adapter_db_save_ms,30.0,8.066666666666666,6.0,13.199999999999989,5.0,44.0,7.056097061912233
leader_verify_ms,30.0,50.166666666666664,0.0,1.0,0.0,1503.0,274.39652698784016
leader_election_msg_build_ms,30.0,67.46666666666667,1.0,1.5499999999999972,0.0,2004.0,365.75314205012677
leader_election_kafka_send_ms,30.0,197.5,0.0,956.5999999999997,0.0,3206.0,631.72242649595
leader_election_total_ms,30.0,271.53333333333336,1.0,959.6999999999998,0.0,5400.0,1007.3221493860234
leader_reply_to_setup_wait_ms,30.0,70.7,1.0,555.4999999999998,0.0,597.0,184.22103477934436
leader_setup_invoke_ms,30.0,105.03333333333333,2.0,249.5499999999997,1.0,2507.0,458.17633131220634
leader_pre_consensus_ms,30.0,472.93333333333334,2.5,1615.3499999999995,1.0,9504.0,1769.1311901088886
leader_init_ms,30.0,3.566666666666667,0.0,2.549999999999997,0.0,97.0,17.662903524606033
leader_broadcast_send_ms,30.0,24.666666666666668,1.0,167.0999999999992,0.0,404.0,89.36223584603452
leader_consensus_total_ms,30.0,504.7,205.0,797.75,17.0,7800.0,1392.2246437341532
leader_es_queue_before_http_ms,30.0,164.5,2.0,98.19999999999999,1.0,4602.0,838.6137062294308
leader_es_http_ms,30.0,35.333333333333336,3.0,99.64999999999999,2.0,692.0,127.3692252478199
leader_es_body_read_ms,30.0,3.7666666666666666,0.0,3.1999999999999886,0.0,96.0,17.446832205961876
leader_es_json_parse_ms,30.0,3.433333333333333,0.0,2.549999999999997,0.0,94.0,17.119626432705893
leader_es_finalize_ms,30.0,13.1,1.0,93.0,0.0,96.0,31.887031197975922
leader_es_total_ms,30.0,220.13333333333333,6.0,199.55,4.0,5395.0,979.7417581402143
leader_reply_after_es_ms,30.0,9.933333333333334,0.0,93.55,0.0,102.0,29.325678206971627
leader_wait_threshold_ms,30.0,299.8666666666667,11.0,256.59999999999974,8.0,7299.0,1323.9486064963692
leader_aggregate_ms,30.0,3.2333333333333334,0.0,1.0999999999999943,0.0,95.0,17.335797791202783
leader_agg_broadcast_roundtrip_ms,13.0,37.76923076923077,3.0,97.4,1.0,98.0,46.33780646181159
leader_commit_build_send_ms,13.0,7.230769230769231,1.0,35.59999999999988,0.0,86.0,23.675422721160462
leader_commit_wait_ms,30.0,6.033333333333333,0.0,47.19999999999976,0.0,92.0,22.438395869477887
leader_reply_kafka_ms,30.0,42.833333333333336,1.5,195.0,1.0,197.0,65.29248957883516
leader_post_threshold_ms,30.0,204.83333333333334,193.5,499.2,7.0,594.0,147.6522203047402
all_nodes_es_total_avg_ms,30.0,193.86666666666667,6.375,99.55,4.25,5247.5,954.8394763386736
all_nodes_es_total_min_ms,30.0,157.96666666666667,5.0,8.549999999999997,3.0,4593.0,837.6449121498769
all_nodes_es_total_max_ms,30.0,228.13333333333333,7.5,199.55,5.0,5501.0,998.1747042626782
all_nodes_es_queue_avg_ms,30.0,143.1,1.5,26.64999999999999,1.0,4176.0,761.7298473506389
all_nodes_es_http_avg_ms,30.0,29.108333333333334,3.0,48.96249999999999,1.75,674.0,122.40766547112952
worker_node_count,30.0,4.0,4.0,4.0,4.0,4.0,0.0
