batch_id,batch_tag,node_count,target_rps,repeat,duration_s,batch_size,accepted,completed,succeeded,failed,inflight,completed_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,k6_http_reqs,k6_http_req_failed_rate,k6_dropped_iterations,k6_http_req_duration_avg_ms,k6_http_req_duration_p95_ms,k6_http_req_duration_p99_ms
adapter-n16-rps1.0-rep1-1774576200105,node16-rps1.0-rep1,16,1.0,1,60,1,61,54,54,0,7,0.3453060754685612,123377.46296296296,122949,152930,154438,61,0,0,5.792096639344262,7.120961,0
adapter-n16-rps1.0-rep2-1774577163611,node16-rps1.0-rep2,16,1.0,2,60,1,61,61,61,0,0,1.0136426328121106,569.2131147540983,373,2175,2277,61,0,0,2.8491880819672133,3.421926,0
adapter-n16-rps1.0-rep3-1774577232161,node16-rps1.0-rep3,16,1.0,3,60,1,60,60,60,0,0,1.013993104846887,412.0833333333333,173,1272,2265,60,0,0,2.8603917666666674,3.6734778500000003,0
adapter-n16-rps2.0-rep1-1774577300563,node16-rps2.0-rep1,16,2.0,1,60,1,121,121,121,0,0,2.0085321116146275,523.5619834710744,236,1583,2133,121,0,0,2.6372936363636357,3.299124,0
adapter-n16-rps2.0-rep2-1774577369069,node16-rps2.0-rep2,16,2.0,2,60,1,121,121,121,0,0,1.0085854797032592,9656.471074380166,586,63409,67068,121,0,0,2.5301678842975206,3.232431,0
adapter-n16-rps2.0-rep3-1774577498021,node16-rps2.0-rep3,16,2.0,3,60,1,121,121,121,0,0,1.9818521309005144,662.5619834710744,249,2048,2093,121,0,0,2.3375039586776856,2.990869,0
adapter-n16-rps5.0-rep1-1774577566527,node16-rps5.0-rep1,16,5.0,1,60,1,301,301,301,0,0,4.9471590815706,831.5647840531561,735,1746,2099,301,0,0,2.0958764684385396,2.755926,0
adapter-n16-rps5.0-rep2-1774577635349,node16-rps5.0-rep2,16,5.0,2,60,1,300,300,300,0,0,4.936240230357877,832.8866666666667,665,2044,3475,300,0,0,1.877224120000002,2.2743857000000003,0
adapter-n16-rps5.0-rep3-1774577704513,node16-rps5.0-rep3,16,5.0,3,60,1,300,300,300,0,0,0.8277848752666157,253080.77666666667,289517,332115,345120,300,0,0,1.8380854200000007,2.3188022000000004,0
adapter-n16-rps10.0-rep1-1774578075543,node16-rps10.0-rep1,16,10.0,1,60,1,601,601,601,0,0,8.817876373666682,11101.296173044924,10163,21465,28354,601,0,0,1.7675387271214626,2.334209,0
adapter-n16-rps10.0-rep2-1774578152913,node16-rps10.0-rep2,16,10.0,2,60,1,601,601,601,0,0,9.276838774407656,7835.968386023294,6489,18478,20983,601,0,0,1.9208600299500855,3.146849,0
adapter-n16-rps10.0-rep3-1774578226994,node16-rps10.0-rep3,16,10.0,3,60,1,600,600,600,0,0,9.624947864865732,1362.5966666666666,1351,2875,4046,600,0,0,1.5889141883333335,2.0231139999999996,0
adapter-n16-rps20.0-rep1-1774578297349,node16-rps20.0-rep1,16,20.0,1,60,1,1201,1201,1201,0,0,14.658318382092686,26990.13821815154,27401,47955,56529,1201,0,0,1.78388929808493,3.16882,0
adapter-n16-rps20.0-rep2-1774578388377,node16-rps20.0-rep2,16,20.0,2,60,1,1200,1200,1200,0,0,12.522305356416116,36540.35166666667,37430,58982,70528,1200,0,0,1.481489918333333,2.2666207,0
adapter-n16-rps20.0-rep3-1774578493735,node16-rps20.0-rep3,16,20.0,3,60,1,1200,1200,1200,0,0,15.005627110166312,28611.924166666668,28076,46535,52045,1200,0,0,1.368766413333334,2.1044556499999993,0
adapter-n16-rps40.0-rep1-1774578582992,node16-rps40.0-rep1,16,40.0,1,60,1,2401,2401,2401,0,0,9.288057438182774,204302.0491461891,207307,238611,246102,2401,0,0,1.5015056251561836,2.957639,0
adapter-n16-rps40.0-rep2-1774578851350,node16-rps40.0-rep2,16,40.0,2,60,1,2401,2401,2401,0,0,19.60096004702271,80673.12203248647,81772,102715,108410,2401,0,0,1.3055047780091638,2.255559,0
adapter-n16-rps40.0-rep3-1774578981966,node16-rps40.0-rep3,16,40.0,3,60,1,2400,2400,2400,0,0,5.969867095833779,353677.19583333336,360808,381332,386368,2400,0,0,1.3457026650000032,2.4951026999999977,0
adapter-n16-rps60.0-rep1-1774579393794,node16-rps60.0-rep1,16,60.0,1,60,1,3601,3601,3601,0,0,7.8918589590460515,407938.4645931686,408819,432112,441218,3601,0,0,1.229555497361843,2.507146,0
adapter-n16-rps60.0-rep2-1774579858844,node16-rps60.0-rep2,16,60.0,2,60,1,3601,3601,3601,0,0,7.832705078316175,418073.11024715356,418159,442040,447428,3601,0,0,1.219160264371006,2.554959,0
adapter-n16-rps60.0-rep3-1774580328273,node16-rps60.0-rep3,16,60.0,3,60,1,3601,3601,3601,0,0,15.94625831964255,179902.11802277146,180557,202692,207676,3601,0,0,1.1971380366564854,2.457445,0
adapter-n16-rps70.0-rep1-1774580563726,node16-rps70.0-rep1,16,70.0,1,60,1,4201,4201,4201,0,0,17.626819955523853,192745.8676505594,194051,217021,224125,4201,0,0,1.2176615432039997,2.454291,0
