req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000170644117030000000003,oracle-lab-oracle-node-3,2522,11,2223,288,215,34,1,1,810,812,596,97,1410,94,1,802,4,92,1,0,1,98,1,297,0,,,1,102,505,94.75,90,98,27.5,47.0,4.0
3011000170644117030000000004,oracle-lab-oracle-node-4,2631,12,2306,311,237,7,0,0,906,909,788,5,1698,3,2,600,1,2,0,0,97,100,0,200,3,,,0,113,400,29.0,5,100,1.25,2.5,4.0
3011000170644117030000000005,oracle-lab-oracle-node-3,703,12,410,280,221,7,0,1,0,1,0,2,3,0,1,402,2,93,1,0,1,97,1,103,0,,,0,99,299,28.25,5,97,1.25,25.5,4.0
3011000170644117030000000006,oracle-lab-oracle-node-4,699,11,414,273,207,9,0,1,1,2,0,2,3,0,1,402,1,4,0,1,92,98,6,12,0,,,0,99,390,28.75,5,98,1.0,3.75,4.0
3011000170644117030000000007,oracle-lab-oracle-node-2,2510,10,2219,280,215,7,0,0,905,907,702,98,1610,96,2,600,2,3,0,0,1,6,0,296,3,,,1,93,304,5.5,5,6,1.25,3.25,4.0
3011000170644117030000000008,oracle-lab-oracle-node-3,521,10,218,292,245,9,0,1,0,1,1,2,3,0,1,302,3,3,1,0,1,8,2,12,0,,,0,1,290,5.75,5,8,1.5,3.0,4.0
3011000170644117030000000009,oracle-lab-oracle-node-4,472,11,208,252,212,7,0,2,1,3,0,3,3,1,2,200,1,2,0,0,1,4,0,11,0,3,0,0,1,189,5.0,4,6,1.25,2.75,4.0
3011000170644117030000000010,oracle-lab-oracle-node-3,583,14,218,351,257,7,0,0,1,1,0,2,10,0,1,203,2,2,0,0,1,5,85,11,0,,,0,1,192,26.75,5,90,2.0,2.5,4.0
3011000170644117030000000011,oracle-lab-oracle-node-3,568,11,215,341,258,24,0,1,0,1,1,2,2,0,1,208,1,4,0,1,0,6,1,13,0,3,1,0,1,195,6.25,6,7,1.0,3.75,4.0
3011000170644117030000000012,oracle-lab-oracle-node-3,462,12,115,334,257,6,1,0,1,1,0,1,2,0,0,109,2,3,1,0,1,7,0,12,0,90,1,0,1,97,5.75,5,7,1.25,3.25,4.0
