metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,1.0,2578.0,2578.0,2578.0,2578.0,2578.0,0.0
adapter_publish_ms,1.0,14.0,14.0,14.0,14.0,14.0,0.0
adapter_wait_reply_ms,1.0,2111.0,2111.0,2111.0,2111.0,2111.0,0.0
adapter_async_ms,1.0,452.0,452.0,452.0,452.0,452.0,0.0
adapter_chain_submit_ms,1.0,327.0,327.0,327.0,327.0,327.0,0.0
adapter_db_save_ms,1.0,37.0,37.0,37.0,37.0,37.0,0.0
leader_verify_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_election_msg_build_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_election_kafka_send_ms,1.0,710.0,710.0,710.0,710.0,710.0,0.0
leader_election_total_ms,1.0,712.0,712.0,712.0,712.0,712.0,0.0
leader_reply_to_setup_wait_ms,1.0,697.0,697.0,697.0,697.0,697.0,0.0
leader_setup_invoke_ms,1.0,98.0,98.0,98.0,98.0,98.0,0.0
leader_pre_consensus_ms,1.0,1411.0,1411.0,1411.0,1411.0,1411.0,0.0
leader_init_ms,1.0,92.0,92.0,92.0,92.0,92.0,0.0
leader_broadcast_send_ms,1.0,3.0,3.0,3.0,3.0,3.0,0.0
leader_consensus_total_ms,1.0,694.0,694.0,694.0,694.0,694.0,0.0
leader_es_queue_before_http_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_es_http_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_es_body_read_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_es_json_parse_ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_es_finalize_ms,1.0,94.0,94.0,94.0,94.0,94.0,0.0
leader_es_total_ms,1.0,98.0,98.0,98.0,98.0,98.0,0.0
leader_reply_after_es_ms,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leader_wait_threshold_ms,1.0,393.0,393.0,393.0,393.0,393.0,0.0
leader_aggregate_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
leader_commit_wait_ms,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leader_reply_kafka_ms,1.0,101.0,101.0,101.0,101.0,101.0,0.0
leader_post_threshold_ms,1.0,301.0,301.0,301.0,301.0,301.0,0.0
all_nodes_es_total_avg_ms,1.0,29.25,29.25,29.25,29.25,29.25,0.0
all_nodes_es_total_min_ms,1.0,5.0,5.0,5.0,5.0,5.0,0.0
all_nodes_es_total_max_ms,1.0,98.0,98.0,98.0,98.0,98.0,0.0
all_nodes_es_queue_avg_ms,1.0,1.75,1.75,1.75,1.75,1.75,0.0
all_nodes_es_http_avg_ms,1.0,2.0,2.0,2.0,2.0,2.0,0.0
worker_node_count,1.0,4.0,4.0,4.0,4.0,4.0,0.0
