metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,686.8666666666667,467.0,2516.6,336.0,2631.0,638.9192239341712
adapter_publish_ms,30.0,10.8,11.0,13.099999999999994,9.0,14.0,1.4239333576037019
adapter_wait_reply_ms,30.0,378.1333333333333,163.5,2221.2,26.0,2306.0,639.9067676344483
adapter_async_ms,30.0,297.1666666666667,297.0,338.3,252.0,351.0,26.82392567290901
adapter_chain_submit_ms,30.0,226.9,222.0,257.0,206.0,258.0,16.163709884843247
adapter_db_save_ms,30.0,9.266666666666667,6.5,28.099999999999994,4.0,34.0,7.864952082776336
leader_verify_ms,30.0,0.23333333333333334,0.0,1.0,0.0,1.0,0.4301830671520763
leader_election_msg_build_ms,30.0,0.5333333333333333,0.5,1.0,0.0,2.0,0.5713464637233658
leader_election_kafka_send_ms,30.0,87.76666666666667,0.5,862.2499999999998,0.0,906.0,266.8386679487133
leader_election_total_ms,30.0,88.56666666666666,1.0,864.2499999999998,0.0,909.0,267.3620409099621
leader_reply_to_setup_wait_ms,30.0,69.96666666666667,0.0,654.2999999999997,0.0,788.0,213.5191961544366
leader_setup_invoke_ms,30.0,8.533333333333333,2.0,57.84999999999975,1.0,98.0,24.244065513928934
leader_pre_consensus_ms,30.0,159.7,3.0,1519.9999999999995,1.0,1698.0,480.6086765758604
leader_init_ms,30.0,6.533333333333333,0.0,53.04999999999974,0.0,96.0,24.057020386678346
leader_broadcast_send_ms,30.0,0.9666666666666667,1.0,2.0,0.0,2.0,0.6149478998583782
leader_consensus_total_ms,30.0,206.7,111.0,600.0,17.0,802.0,182.42129148267452
leader_es_queue_before_http_ms,30.0,1.6333333333333333,1.0,3.549999999999997,1.0,4.0,0.9278574999588488
leader_es_http_ms,30.0,8.766666666666667,3.0,52.39999999999975,1.0,93.0,22.77427970522787
leader_es_body_read_ms,30.0,0.7,0.5,1.0,0.0,7.0,1.290549201456229
leader_es_json_parse_ms,30.0,0.23333333333333334,0.0,1.0,0.0,2.0,0.5040069329937309
leader_es_finalize_ms,30.0,6.866666666666666,1.0,51.04999999999974,0.0,97.0,23.835258342000095
leader_es_total_ms,30.0,18.2,6.0,98.0,4.0,100.0,31.977794019363305
leader_reply_after_es_ms,30.0,3.3666666666666667,0.0,4.199999999999989,0.0,85.0,15.461818007335168
leader_wait_threshold_ms,30.0,39.266666666666666,11.0,252.79999999999973,8.0,297.0,79.52008348939857
leader_aggregate_ms,30.0,0.2,0.0,1.6499999999999915,0.0,3.0,0.7611243951073873
leader_agg_broadcast_roundtrip_ms,11.0,18.90909090909091,3.0,89.0,2.0,90.0,34.73169890879093
leader_commit_build_send_ms,11.0,0.6363636363636364,1.0,1.0,0.0,1.0,0.504524979109513
leader_commit_wait_ms,30.0,3.066666666666667,0.0,1.0,0.0,88.0,16.045051516306188
leader_reply_kafka_ms,30.0,20.733333333333334,1.0,100.64999999999999,0.0,113.0,40.1882924565689
leader_post_threshold_ms,30.0,167.43333333333334,101.5,395.5,8.0,505.0,116.51718338077224
all_nodes_es_total_avg_ms,30.0,11.666666666666666,5.75,28.8875,4.25,94.75,17.522194464466335
all_nodes_es_total_min_ms,30.0,7.633333333333334,5.0,6.549999999999997,3.0,90.0,15.57514229377261
all_nodes_es_total_max_ms,30.0,21.966666666666665,7.0,98.0,5.0,100.0,34.016713268762395
all_nodes_es_queue_avg_ms,30.0,2.283333333333333,1.25,2.8874999999999993,0.75,27.5,4.792115171413554
all_nodes_es_http_avg_ms,30.0,5.241666666666666,3.0,15.824999999999939,2.25,47.0,8.900426988336719
worker_node_count,30.0,4.0,4.0,4.0,4.0,4.0,0.0
