req_id,leader_service,total_e2e_ms,adapter_publish_ms,adapter_wait_reply_ms,adapter_async_ms,adapter_chain_submit_ms,adapter_db_save_ms,leader_verify_ms,leader_election_msg_build_ms,leader_election_kafka_send_ms,leader_election_total_ms,leader_reply_to_setup_wait_ms,leader_setup_invoke_ms,leader_pre_consensus_ms,leader_init_ms,leader_broadcast_send_ms,leader_consensus_total_ms,leader_es_queue_before_http_ms,leader_es_http_ms,leader_es_body_read_ms,leader_es_json_parse_ms,leader_es_finalize_ms,leader_es_total_ms,leader_reply_after_es_ms,leader_wait_threshold_ms,leader_aggregate_ms,leader_agg_broadcast_roundtrip_ms,leader_commit_build_send_ms,leader_commit_wait_ms,leader_reply_kafka_ms,leader_post_threshold_ms,all_nodes_es_total_avg_ms,all_nodes_es_total_min_ms,all_nodes_es_total_max_ms,all_nodes_es_queue_avg_ms,all_nodes_es_http_avg_ms,worker_node_count
3011000101844605550000015649,oracle-lab-oracle-node-1,888,9,211,667,515,5,0,0,3,3,1,108,4,,,108,1,3,0,0,100,104,1,,0,,,,3,,104.0,104,104,1.0,3.0,1.0
3011000101844605550000015650,oracle-lab-oracle-node-4,511,7,122,381,306,6,0,1,2,3,0,113,4,,,112,1,2,0,0,105,108,1,,0,,,,3,,108.0,108,108,1.0,2.0,1.0
3011000101844605550000015651,oracle-lab-oracle-node-2,778,9,219,550,442,7,0,0,3,3,1,211,5,,,210,1,3,0,0,103,107,7,,0,,,,96,,107.0,107,107,1.0,3.0,1.0
3011000101844605550000015652,oracle-lab-oracle-node-4,891,21,204,665,539,5,0,1,0,1,1,102,2,,,101,2,3,0,0,94,99,1,,0,,,,1,,99.0,99,99,2.0,3.0,1.0
3011000101844605550000015653,oracle-lab-oracle-node-8,437,7,29,400,329,6,1,0,2,2,0,21,3,,,21,1,2,1,0,13,17,1,,0,,,,2,,17.0,17,17,1.0,2.0,1.0
3011000101844605550000015654,oracle-lab-oracle-node-3,516,9,119,387,328,4,0,0,3,3,0,110,5,,,108,1,3,0,0,100,104,1,,0,,,,3,,104.0,104,104,1.0,3.0,1.0
3011000101844605550000015655,oracle-lab-oracle-node-5,588,7,219,361,296,5,0,1,2,4,0,207,5,,,207,1,3,0,0,103,107,1,,0,,,,99,,107.0,107,107,1.0,3.0,1.0
3011000101844605550000015656,oracle-lab-oracle-node-1,399,8,25,365,287,6,1,0,1,1,0,19,2,,,19,1,4,0,0,12,17,1,,0,,,,1,,17.0,17,17,1.0,4.0,1.0
3011000101844605550000015657,oracle-lab-oracle-node-3,438,9,25,403,309,6,0,1,0,1,1,18,2,,,18,1,3,0,0,12,16,1,,0,,,,1,,16.0,16,16,1.0,3.0,1.0
3011000101844605550000015658,oracle-lab-oracle-node-1,452,8,27,416,346,4,0,1,0,1,1,20,2,,,20,2,3,0,0,13,18,1,,0,,,,1,,18.0,18,18,2.0,3.0,1.0
3011000101844605550000015659,oracle-lab-oracle-node-7,631,8,126,496,353,40,0,0,3,3,1,115,5,,,114,2,2,0,0,103,107,4,,0,,,,3,,107.0,107,107,2.0,2.0,1.0
3011000101844605550000015660,oracle-lab-oracle-node-6,778,8,118,651,468,6,0,0,4,4,0,110,5,,,108,1,2,1,0,13,17,1,,0,,,,90,,17.0,17,17,1.0,2.0,1.0
3011000101844605550000015661,oracle-lab-oracle-node-3,423,9,25,388,297,5,0,0,0,0,1,18,2,,,17,1,2,1,0,12,16,1,,0,,,,0,,16.0,16,16,1.0,2.0,1.0
3011000101844605550000015662,oracle-lab-oracle-node-3,576,7,118,451,388,5,0,0,1,1,0,110,1,,,109,1,2,0,0,104,107,0,,0,,,,1,,107.0,107,107,1.0,2.0,1.0
3011000101844605550000015663,oracle-lab-oracle-node-1,562,8,116,437,348,7,0,1,0,1,1,20,2,,,20,2,2,1,0,13,18,1,,0,,,,1,,18.0,18,18,2.0,2.0,1.0
3011000101844605550000015664,oracle-lab-oracle-node-5,420,8,26,386,314,11,0,1,0,1,0,19,1,,,19,1,2,1,0,13,17,0,,0,,,,1,,17.0,17,17,1.0,2.0,1.0
3011000101844605550000015665,oracle-lab-oracle-node-4,672,9,117,545,465,6,1,0,2,2,1,106,4,,,105,1,3,1,0,12,17,0,,0,,,,88,,17.0,17,17,1.0,3.0,1.0
3011000101844605550000015666,oracle-lab-oracle-node-6,596,8,217,371,302,6,0,1,0,1,0,210,2,,,210,2,3,0,0,109,114,94,,0,,,,2,,114.0,114,114,2.0,3.0,1.0
3011000101844605550000015667,oracle-lab-oracle-node-4,448,7,28,412,316,6,0,1,0,1,0,22,2,,,20,1,3,0,0,14,18,1,,0,,,,1,,18.0,18,18,1.0,3.0,1.0
3011000101844605550000015668,oracle-lab-oracle-node-3,486,7,27,452,362,6,0,0,1,1,0,19,2,,,19,1,3,0,0,12,16,1,,0,,,,1,,16.0,16,16,1.0,3.0,1.0
3011000101844605550000015669,oracle-lab-oracle-node-2,577,10,212,354,264,15,0,0,3,3,1,204,5,,,203,1,2,0,0,197,200,0,,0,,,,3,,200.0,200,200,1.0,2.0,1.0
3011000101844605550000015670,oracle-lab-oracle-node-3,536,9,120,406,314,7,0,0,1,1,0,115,1,,,115,1,3,0,0,110,114,0,,0,,,,1,,114.0,114,114,1.0,3.0,1.0
3011000101844605550000015671,oracle-lab-oracle-node-2,420,8,23,389,317,7,0,0,0,1,0,18,1,,,17,1,3,0,0,12,16,1,,0,,,,0,,16.0,16,16,1.0,3.0,1.0
3011000101844605550000015672,oracle-lab-oracle-node-8,459,10,28,419,327,7,0,0,2,3,0,20,3,,,20,1,3,0,0,13,17,0,,0,,,,3,,17.0,17,17,1.0,3.0,1.0
3011000101844605550000015673,oracle-lab-oracle-node-7,557,7,121,428,357,7,1,0,0,0,0,115,3,,,113,1,2,0,0,109,112,0,,0,,,,1,,112.0,112,112,1.0,2.0,1.0
3011000101844605550000015674,oracle-lab-oracle-node-3,561,10,112,439,350,7,0,2,1,3,1,102,5,,,101,1,3,0,0,16,20,1,,0,,,,80,,20.0,20,20,1.0,3.0,1.0
3011000101844605550000015675,oracle-lab-oracle-node-7,513,7,122,383,287,5,0,0,1,1,0,109,2,,,108,1,11,1,0,93,106,1,,0,,,,1,,106.0,106,106,1.0,11.0,1.0
3011000101844605550000015676,oracle-lab-oracle-node-4,714,10,118,585,421,14,0,1,0,1,0,111,2,,,109,1,4,0,0,103,108,0,,0,,,,1,,108.0,108,108,1.0,4.0,1.0
3011000101844605550000015677,oracle-lab-oracle-node-6,445,7,32,405,332,6,1,1,2,3,1,21,5,,,21,1,3,1,0,13,18,1,,0,,,,2,,18.0,18,18,1.0,3.0,1.0
3011000101844605550000015678,oracle-lab-oracle-node-1,461,9,32,421,349,5,1,0,2,2,0,23,4,,,21,1,3,0,0,14,18,1,,0,,,,2,,18.0,18,18,1.0,3.0,1.0
