metric,count,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms
total_e2e_ms,30.0,557.7666666666667,526.0,838.4999999999997,399.0,891.0,136.44745946847928
adapter_publish_ms,30.0,8.666666666666666,8.0,10.0,7.0,21.0,2.5506366119925397
adapter_wait_reply_ms,30.0,101.26666666666667,117.5,218.1,23.0,219.0,70.89230945758422
adapter_async_ms,30.0,447.1,414.0,658.7,354.0,667.0,91.3807306330743
adapter_chain_submit_ms,30.0,354.26666666666665,330.5,493.84999999999985,264.0,539.0,69.06165827489346
adapter_db_save_ms,30.0,7.733333333333333,6.0,14.549999999999997,4.0,40.0,6.585948120329992
leader_verify_ms,30.0,0.2,0.0,1.0,0.0,1.0,0.4068381021724863
leader_election_msg_build_ms,30.0,0.43333333333333335,0.0,1.0,0.0,2.0,0.5683207771559354
leader_election_kafka_send_ms,30.0,1.3,1.0,3.0,0.0,4.0,1.235955584516107
leader_election_total_ms,30.0,1.8333333333333333,1.0,3.549999999999997,0.0,4.0,1.1472105098991154
leader_reply_to_setup_wait_ms,30.0,0.4,0.0,1.0,0.0,1.0,0.49827287912243984
leader_setup_invoke_ms,30.0,83.86666666666666,104.0,208.64999999999998,18.0,211.0,65.35881511046293
leader_pre_consensus_ms,30.0,3.033333333333333,2.5,5.0,1.0,5.0,1.473521078171633
leader_consensus_total_ms,30.0,83.1,103.0,208.64999999999998,17.0,210.0,65.22552388074197
leader_es_queue_before_http_ms,30.0,1.1666666666666667,1.0,2.0,1.0,2.0,0.3790490217894517
leader_es_http_ms,30.0,3.0,3.0,4.0,2.0,11.0,1.618854426800759
leader_es_body_read_ms,30.0,0.26666666666666666,0.0,1.0,0.0,1.0,0.44977644510880366
leader_es_json_parse_ms,30.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_es_finalize_ms,30.0,58.0,15.0,109.55,12.0,197.0,51.93098868890228
leader_es_total_ms,30.0,62.43333333333333,19.0,114.0,16.0,200.0,51.91816062129754
leader_reply_after_es_ms,30.0,4.133333333333334,1.0,5.6499999999999915,0.0,94.0,17.02682130281988
leader_aggregate_ms,30.0,0.0,0.0,0.0,0.0,0.0,0.0
leader_reply_kafka_ms,30.0,16.4,1.5,93.29999999999998,0.0,99.0,33.87359871131457
all_nodes_es_total_avg_ms,30.0,62.43333333333333,19.0,114.0,16.0,200.0,51.91816062129754
all_nodes_es_total_min_ms,30.0,62.43333333333333,19.0,114.0,16.0,200.0,51.91816062129754
all_nodes_es_total_max_ms,30.0,62.43333333333333,19.0,114.0,16.0,200.0,51.91816062129754
all_nodes_es_queue_avg_ms,30.0,1.1666666666666667,1.0,2.0,1.0,2.0,0.3790490217894517
all_nodes_es_http_avg_ms,30.0,3.0,3.0,4.0,2.0,11.0,1.618854426800759
worker_node_count,30.0,1.0,1.0,1.0,1.0,1.0,0.0
