time_bin_s,completed_rps_mean,completed_rps_std,window_success_rate_mean,window_success_rate_std,total_mean,total_std,right_mean,right_std,wrong_mean,wrong_std
0,0.5990173167456377,0.06310960038614173,0.7133333333333334,0.14391355429948602,6,0.6324555320336759,3.4,1.3564659966250536,2.6,1.3564659966250536
10,0.8785315945027939,0.11647568847107927,0.76,0.048989794855663606,14.8,0.9797958971132713,10.6,2.0591260281974,4.2,1.469693845669907
20,0.8983033553250217,0.12622307551456566,0.6733333333333333,0.038873012632301994,23.8,2.227105745132009,17,2.449489742783178,6.8,1.469693845669907
30,0.7583748087818357,0.2932836589458015,0.7733333333333333,0.08273115763993907,31.4,4.715930449020639,23.2,3.1874754901018454,8.2,1.7204650534085253
40,0.7184011526698927,0.15968204996883878,0.7933333333333333,0.08273115763993907,38.6,5.083306010855534,28.4,6.019966777316965,10.2,1.6
50,0.7782354701688349,0.3054358678289226,0.7133333333333334,0.07774602526460404,46.4,2.4166091947189146,31.6,7.337574531137657,14.8,5.878775382679628
60,0.6181777788920672,0.24760815927890356,0.7533333333333333,0.13920408678547402,52.6,3.6110940170535577,35,8.318653737234168,17.6,6.216108107168021
70,0.7181503759126234,0.07469414146585604,0.7033333333333333,0.10860223038429939,59.8,3.3105890714493698,38.4,9.134549797335389,21.4,7.227724399837061
80,0.7976655598653976,0.2090808118135798,0.7773333333333333,0.10027517694380356,67.8,4.833218389437829,43.8,9.724196624914574,24,7.014271166700073
90,1.0568999748441033,0.20537368083269583,0.6801245421245421,0.09926796047582055,78.4,4.409081537009721,48.4,11.706408501329518,30,8.461678320522472
100,0.8574402534148555,0.11952756667869137,0.82,0.10227957328377506,87,5.0990195135927845,54.4,13.275541420220872,32.6,9.414881836751857
110,0.6777303170468679,0.29155318146735665,0.8073809523809524,0.09225814124428446,93.8,6.968500556073738,59.6,14.63693957082559,34.2,11.142710621747295
120,1.175555820703121,0.2473503579285976,0.7399696969696969,0.07138884583363299,105.6,6.740919818541086,64.8,15.354478174135387,40.8,10.979981785048643
130,0.8369318659611817,0.4301352471817511,0.8137950937950938,0.1176950616728282,114,7.4565407529228995,70.2,16.773789077009404,43.8,10.419213022104884
140,0.557845477377507,0.49856657444393626,0.8710769230769231,0.10823773964760937,119.6,9.58331884056875,74.8,17.88183435780569,44.8,10.906878563548785
150,1.055719900250288,0.7143978173220337,0.7803921568627451,0.12116949024885132,130.2,7.467261881037787,79.6,17.511139311878026,50.6,12.483589227461788
160,0.9560188811952796,0.6594740801161738,0.7800952380952381,0.13492330903045588,139.8,7.138627319029899,83.8,17.88183435780569,56,16.24807680927192
170,0.8563799966611769,0.5101580285914105,0.7933333333333333,0.14466436250085152,148.4,6.053098380168622,88.4,18.13945974939717,60,13.16054710108968
180,1.1947342455945758,0.31516879360206085,0.8004337492572786,0.033716748086136866,160.4,5.388877434122992,93.2,19.249935064825543,67.2,16.557777628655362
190,0.816093074051279,0.4423738347908781,0.8063809523809524,0.05812146168490623,168.6,5.885575587824865,99.4,21.758676430334635,69.2,16.618062462272793
200,0.8958850255145212,0.47536239140545317,0.8565714285714285,0.09735062334137048,177.6,1.3564659966250536,111.2,23.301502097504358,66.4,22.720915474513784
210,0.0,0.0,1.0,0.0,177.6,1.3564659966250536,127.4,17.258041603843697,50.2,17.045820602130014
220,0.0,0.0,1.0,0.0,177.6,1.3564659966250536,138,8.988882021697693,39.6,8.845337754998392
230,0.0,0.0,1.0,0.0,177.6,1.3564659966250536,143.8,5.035871324805669,33.8,4.707440918375928
240,0.0,0.0,1.0,0.0,177.6,1.3564659966250536,143.8,5.035871324805669,33.8,4.707440918375928
