time_bin_s,completed_rps_mean,completed_rps_std,window_success_rate_mean,window_success_rate_std,total_mean,total_std,right_mean,right_std,wrong_mean,wrong_std
0,0.6387716027560908,0.04885712062284141,0.7133333333333334,0.07774602526460404,6.4,0.48989794855663565,4.4,0.8,2,1.0954451150103321
10,0.9582187831834243,0.04885163438969416,0.7666666666666667,0.11547005383792518,16,0.0,12.4,1.7435595774162693,3.6,1.7435595774162693
20,0.9978114777565202,0.0002308191626638954,0.8400000000000001,0.04898979485566355,26,0.0,21,2.449489742783178,5,2.449489742783178
30,1.0175369066788584,0.03988449224651996,0.8200000000000001,0.09797958971132713,36.2,0.4,29.2,3.1240998703626617,7,3.3466401061363023
40,0.9773505901321289,0.039777082196353994,0.8133333333333334,0.18451136670797397,46,0.0,37,4.242640687119285,9,4.242640687119285
50,1.0371509034716728,0.04892624477227341,0.7533333333333333,0.14391355429948605,56.4,0.4898979485566356,45,5.329165037789691,11.4,5.607138307550475
60,0.7972993956986466,0.2520100533226385,0.76,0.17435595774162696,64.4,2.4166091947189146,51.2,6.49307323229917,13.2,6.241794613730894
70,0.657802307917544,0.49871038996187683,0.6933333333333334,0.19020456823582807,71,7.37563556583431,56.4,6.590902821313633,14.6,7.391887445030531
80,1.136140655387336,0.3129976419692563,0.6466666666666666,0.04521553322083511,82.4,4.586937976471886,61,8.648699324175862,21.4,6.590902821313633
90,0.7372348936072746,0.3250081725609343,0.8533333333333334,0.11274356350191844,89.8,6.493073232299171,69.6,8.708616422830897,20.2,4.707440918375928
100,1.0758192423551476,0.32988942394807763,0.8188888888888889,0.10793230617405239,100.6,5.499090833947008,77.8,10.380751417888783,22.8,6.177378084592201
110,1.0754388966631145,0.13241831893049097,0.7830769230769231,0.07291434907559478,111.4,4.498888751680797,85.2,11.651609330903607,26.2,8.328265125462805
120,0.9158626916667978,0.15906277369673108,0.7933333333333333,0.06798692684790383,120.6,5.817215828899594,93.4,11.128342194594845,27.2,6.177378084592201
130,1.1744761039106923,0.11625345990790749,0.711111111111111,0.04444444444444443,132.4,4.882622246293481,101.6,10.836973747315254,30.8,7.054076835419359
140,0.9154446968531884,0.039880387096391905,0.7326666666666667,0.15492507149515142,141.6,4.63033476111609,109.2,9.846826900072937,32.4,6.248199740725323
150,0.9949166117333501,0.10902110654780417,0.6973333333333334,0.1111235548587447,151.6,5.083306010855534,117,7.8230428862431785,34.6,4.454211490264018
160,1.0343376463669,0.10151401717702402,0.7386666666666667,0.05694441734416699,162,4.9396356140913875,125.2,7.547184905645283,36.8,4.308131845707603
170,0.9941892608625601,0.08886906752469967,0.8026666666666666,0.05442221768522284,172,5.329165037789691,134,6.899275324264136,38,3.286335345030997
180,0.6561577878486473,0.28542971112702265,0.7966666666666666,0.06182412330330472,178.4,2.4166091947189146,139.2,4.621688003316537,39.2,3.6
190,0.5454786508137106,0.050639637200098786,0.95,0.04999999999999999,180.6,0.4898979485566356,145.4,5.678027826631356,35.2,5.344155686354955
200,0.0,0.0,1.0,0.0,180.6,0.4898979485566356,147.6,8.212186067059124,33,7.874007874011811
